"category_name","avg_category_rating","year_month","label"
"Video Games",5,"1970.1","Top 2"
"Kids & Family",5,"1970.1","Top 2"
"More Systems",5,"1970.1","Top 2"
"PlayStation 2",5,"1970.1","Top 2"
"Games",5,"1970.1","Top 2"
"Toys & Games",5,"1970.1","Top 1"
"Games",5,"1970.1","Top 1"
"Handheld Games",5,"1970.1","Top 1"
"Health, Fitness & Dieting",3.55,"1996.11","Top 3"
"Books",3.55,"1996.11","Top 3"
"Religion & Spirituality",3.55,"1996.11","Top 3"
"Spirituality",3.55,"1996.11","Top 3"
"Personal Growth",3.55,"1996.11","Top 3"
"Self-Help",3.55,"1996.11","Top 3"
"Personal Transformation",3.55,"1996.11","Top 3"
"Kindle Store",3.55,"1996.11","Top 3"
"Kindle Short Reads",3.55,"1996.11","Top 3"
"Two hours or more (65-100 pages)",3.55,"1996.11","Top 3"
"Kindle eBooks",3.55,"1996.11","Top 3"
"Books",3.55,"1996.11","Top 3"
"Church History",3.55,"1996.11","Top 2"
"Books",3.55,"1996.11","Top 2"
"Books",3.55,"1996.11","Top 2"
"Churches & Church Leadership",3.55,"1996.11","Top 2"
"Popes & the Vatican",3.55,"1996.11","Top 2"
"Books",3.55,"1996.11","Top 2"
"Religious",3.55,"1996.11","Top 2"
"Christianity",3.55,"1996.11","Top 2"
"Kindle Store",3.55,"1996.11","Top 2"
"Kindle Short Reads",3.55,"1996.11","Top 2"
"Catholicism",3.55,"1996.11","Top 2"
"One hour (33-43 pages)",3.55,"1996.11","Top 2"
"Religion & Spirituality",3.55,"1996.11","Top 2"
"Kindle eBooks",3.55,"1996.11","Top 2"
"Christian Books & Bibles",3.55,"1996.11","Top 2"
"World",3.55,"1996.11","Top 2"
"History",3.55,"1996.11","Top 2"
"Books",3.55,"1996.11","Top 1"
"Civil Rights & Liberties",3.55,"1996.11","Top 1"
"Specific Topics",3.55,"1996.11","Top 1"
"Books",3.55,"1996.11","Top 1"
"Politics & Government",3.55,"1996.11","Top 1"
"Politics & Social Sciences",3.55,"1996.11","Top 1"
"Law Enforcement",3.55,"1996.11","Top 1"
"Criminal Law",3.55,"1996.11","Top 1"
"Law",3.55,"1996.11","Top 1"
"Professional & Technical",3.55,"1996.11","Top 1"
"Kindle eBooks",3.55,"1996.11","Top 1"
"30 minutes (12-21 pages)",3.55,"1996.11","Top 1"
"Kindle Short Reads",3.55,"1996.11","Top 1"
"Kindle Store",3.55,"1996.11","Top 1"
"Books",3.55,"1996.11","Top 1"
"Books",4.61,"1996.12","Top 3"
"Health, Fitness & Dieting",4.61,"1996.12","Top 3"
"Kindle eBooks",4.61,"1996.12","Top 3"
"Two hours or more (65-100 pages)",4.61,"1996.12","Top 3"
"Kindle Short Reads",4.61,"1996.12","Top 3"
"Kindle Store",4.61,"1996.12","Top 3"
"Personal Transformation",4.61,"1996.12","Top 3"
"Self-Help",4.61,"1996.12","Top 3"
"Personal Growth",4.61,"1996.12","Top 3"
"Spirituality",4.61,"1996.12","Top 3"
"Religion & Spirituality",4.61,"1996.12","Top 3"
"Books",4.61,"1996.12","Top 3"
"One hour (33-43 pages)",4.61,"1996.12","Top 2"
"Church History",4.61,"1996.12","Top 2"
"Religion & Spirituality",4.61,"1996.12","Top 2"
"Books",4.61,"1996.12","Top 2"
"Books",4.61,"1996.12","Top 2"
"Books",4.61,"1996.12","Top 2"
"Religious",4.61,"1996.12","Top 2"
"Christianity",4.61,"1996.12","Top 2"
"Kindle Store",4.61,"1996.12","Top 2"
"Kindle Short Reads",4.61,"1996.12","Top 2"
"World",4.61,"1996.12","Top 2"
"History",4.61,"1996.12","Top 2"
"Kindle eBooks",4.61,"1996.12","Top 2"
"Christian Books & Bibles",4.61,"1996.12","Top 2"
"Catholicism",4.61,"1996.12","Top 2"
"Popes & the Vatican",4.61,"1996.12","Top 2"
"Churches & Church Leadership",4.61,"1996.12","Top 2"
"30 minutes (12-21 pages)",4.61,"1996.12","Top 1"
"Books",4.61,"1996.12","Top 1"
"Kindle eBooks",4.61,"1996.12","Top 1"
"Professional & Technical",4.61,"1996.12","Top 1"
"Law",4.61,"1996.12","Top 1"
"Law Enforcement",4.61,"1996.12","Top 1"
"Politics & Social Sciences",4.61,"1996.12","Top 1"
"Politics & Government",4.61,"1996.12","Top 1"
"Specific Topics",4.61,"1996.12","Top 1"
"Civil Rights & Liberties",4.61,"1996.12","Top 1"
"Books",4.61,"1996.12","Top 1"
"Books",4.61,"1996.12","Top 1"
"Kindle Store",4.61,"1996.12","Top 1"
"Kindle Short Reads",4.61,"1996.12","Top 1"
"Criminal Law",4.61,"1996.12","Top 1"
"Kindle eBooks",4.5,"1996.5","Top 3"
"Books",4.5,"1996.5","Top 3"
"Religion & Spirituality",4.5,"1996.5","Top 3"
"Spirituality",4.5,"1996.5","Top 3"
"Personal Growth",4.5,"1996.5","Top 3"
"Self-Help",4.5,"1996.5","Top 3"
"Personal Transformation",4.5,"1996.5","Top 3"
"Health, Fitness & Dieting",4.5,"1996.5","Top 3"
"Kindle Store",4.5,"1996.5","Top 3"
"Kindle Short Reads",4.5,"1996.5","Top 3"
"Two hours or more (65-100 pages)",4.5,"1996.5","Top 3"
"Books",4.5,"1996.5","Top 3"
"Religion & Spirituality",4.5,"1996.5","Top 2"
"Catholicism",4.5,"1996.5","Top 2"
"Kindle Short Reads",4.5,"1996.5","Top 2"
"Kindle Store",4.5,"1996.5","Top 2"
"Christianity",4.5,"1996.5","Top 2"
"Religious",4.5,"1996.5","Top 2"
"Books",4.5,"1996.5","Top 2"
"Kindle eBooks",4.5,"1996.5","Top 2"
"Christian Books & Bibles",4.5,"1996.5","Top 2"
"Popes & the Vatican",4.5,"1996.5","Top 2"
"Books",4.5,"1996.5","Top 2"
"Church History",4.5,"1996.5","Top 2"
"History",4.5,"1996.5","Top 2"
"World",4.5,"1996.5","Top 2"
"Books",4.5,"1996.5","Top 2"
"One hour (33-43 pages)",4.5,"1996.5","Top 2"
"Churches & Church Leadership",4.5,"1996.5","Top 2"
"Kindle eBooks",4.5,"1996.5","Top 1"
"Books",4.5,"1996.5","Top 1"
"Books",4.5,"1996.5","Top 1"
"Kindle Store",4.5,"1996.5","Top 1"
"Kindle Short Reads",4.5,"1996.5","Top 1"
"30 minutes (12-21 pages)",4.5,"1996.5","Top 1"
"Civil Rights & Liberties",4.5,"1996.5","Top 1"
"Specific Topics",4.5,"1996.5","Top 1"
"Politics & Government",4.5,"1996.5","Top 1"
"Politics & Social Sciences",4.5,"1996.5","Top 1"
"Law Enforcement",4.5,"1996.5","Top 1"
"Criminal Law",4.5,"1996.5","Top 1"
"Law",4.5,"1996.5","Top 1"
"Professional & Technical",4.5,"1996.5","Top 1"
"Books",4.5,"1996.5","Top 1"
"Books",5,"1996.6","Top 3"
"Personal Growth",5,"1996.6","Top 3"
"Self-Help",5,"1996.6","Top 3"
"Personal Transformation",5,"1996.6","Top 3"
"Kindle Store",5,"1996.6","Top 3"
"Kindle Short Reads",5,"1996.6","Top 3"
"Two hours or more (65-100 pages)",5,"1996.6","Top 3"
"Kindle eBooks",5,"1996.6","Top 3"
"Health, Fitness & Dieting",5,"1996.6","Top 3"
"Religion & Spirituality",5,"1996.6","Top 3"
"Books",5,"1996.6","Top 3"
"Spirituality",5,"1996.6","Top 3"
"Kindle Short Reads",5,"1996.6","Top 2"
"Popes & the Vatican",5,"1996.6","Top 2"
"World",5,"1996.6","Top 2"
"History",5,"1996.6","Top 2"
"Church History",5,"1996.6","Top 2"
"Books",5,"1996.6","Top 2"
"Books",5,"1996.6","Top 2"
"Religious",5,"1996.6","Top 2"
"Christianity",5,"1996.6","Top 2"
"Kindle Store",5,"1996.6","Top 2"
"Churches & Church Leadership",5,"1996.6","Top 2"
"One hour (33-43 pages)",5,"1996.6","Top 2"
"Religion & Spirituality",5,"1996.6","Top 2"
"Kindle eBooks",5,"1996.6","Top 2"
"Christian Books & Bibles",5,"1996.6","Top 2"
"Catholicism",5,"1996.6","Top 2"
"Books",5,"1996.6","Top 2"
"Kindle eBooks",5,"1996.6","Top 1"
"Books",5,"1996.6","Top 1"
"30 minutes (12-21 pages)",5,"1996.6","Top 1"
"Books",5,"1996.6","Top 1"
"Kindle Store",5,"1996.6","Top 1"
"Professional & Technical",5,"1996.6","Top 1"
"Law",5,"1996.6","Top 1"
"Criminal Law",5,"1996.6","Top 1"
"Law Enforcement",5,"1996.6","Top 1"
"Politics & Social Sciences",5,"1996.6","Top 1"
"Politics & Government",5,"1996.6","Top 1"
"Specific Topics",5,"1996.6","Top 1"
"Civil Rights & Liberties",5,"1996.6","Top 1"
"Books",5,"1996.6","Top 1"
"Kindle Short Reads",5,"1996.6","Top 1"
"Books",5,"1996.8","Top 3"
"Books",5,"1996.8","Top 3"
"Health, Fitness & Dieting",5,"1996.8","Top 3"
"Kindle eBooks",5,"1996.8","Top 3"
"Two hours or more (65-100 pages)",5,"1996.8","Top 3"
"Kindle Short Reads",5,"1996.8","Top 3"
"Kindle Store",5,"1996.8","Top 3"
"Personal Transformation",5,"1996.8","Top 3"
"Self-Help",5,"1996.8","Top 3"
"Personal Growth",5,"1996.8","Top 3"
"Spirituality",5,"1996.8","Top 3"
"Religion & Spirituality",5,"1996.8","Top 3"
"Religion & Spirituality",5,"1996.8","Top 2"
"History",5,"1996.8","Top 2"
"World",5,"1996.8","Top 2"
"Church History",5,"1996.8","Top 2"
"Churches & Church Leadership",5,"1996.8","Top 2"
"Popes & the Vatican",5,"1996.8","Top 2"
"Catholicism",5,"1996.8","Top 2"
"Christian Books & Bibles",5,"1996.8","Top 2"
"Books",5,"1996.8","Top 2"
"One hour (33-43 pages)",5,"1996.8","Top 2"
"Kindle Short Reads",5,"1996.8","Top 2"
"Kindle Store",5,"1996.8","Top 2"
"Christianity",5,"1996.8","Top 2"
"Religious",5,"1996.8","Top 2"
"Kindle eBooks",5,"1996.8","Top 2"
"Books",5,"1996.8","Top 2"
"Books",5,"1996.8","Top 2"
"Books",5,"1996.8","Top 1"
"Kindle Store",5,"1996.8","Top 1"
"Kindle Short Reads",5,"1996.8","Top 1"
"Civil Rights & Liberties",5,"1996.8","Top 1"
"30 minutes (12-21 pages)",5,"1996.8","Top 1"
"Books",5,"1996.8","Top 1"
"Kindle eBooks",5,"1996.8","Top 1"
"Professional & Technical",5,"1996.8","Top 1"
"Law",5,"1996.8","Top 1"
"Criminal Law",5,"1996.8","Top 1"
"Law Enforcement",5,"1996.8","Top 1"
"Politics & Social Sciences",5,"1996.8","Top 1"
"Politics & Government",5,"1996.8","Top 1"
"Specific Topics",5,"1996.8","Top 1"
"Books",5,"1996.8","Top 1"
"Books",4.42,"1997.1","Top 3"
"Books",4.42,"1997.1","Top 3"
"Health, Fitness & Dieting",4.42,"1997.1","Top 3"
"Kindle eBooks",4.42,"1997.1","Top 3"
"Two hours or more (65-100 pages)",4.42,"1997.1","Top 3"
"Kindle Store",4.42,"1997.1","Top 3"
"Personal Transformation",4.42,"1997.1","Top 3"
"Self-Help",4.42,"1997.1","Top 3"
"Personal Growth",4.42,"1997.1","Top 3"
"Spirituality",4.42,"1997.1","Top 3"
"Religion & Spirituality",4.42,"1997.1","Top 3"
"Kindle Short Reads",4.42,"1997.1","Top 3"
"Religion & Spirituality",4.42,"1997.1","Top 2"
"Religious",4.42,"1997.1","Top 2"
"World",4.42,"1997.1","Top 2"
"History",4.42,"1997.1","Top 2"
"Church History",4.42,"1997.1","Top 2"
"Churches & Church Leadership",4.42,"1997.1","Top 2"
